datetime,sky,temperature,wind_direction,wind_velocity,p
1/1/2016 00:00,"ясно, без осадков",-21,СВ,3 м/с,738
1/1/2016 03:00,"ясно, без осадков",-22,ВСВ,3 м/с,738
1/1/2016 06:00,"малооблачно, без осадков",-21,ВСВ,3 м/с,737
1/1/2016 09:00,"ясно, без осадков",-20,СВ,4 м/с,735
1/1/2016 12:00,"пасмурно, без осадков",-19,ВСВ,5 м/с,734
1/1/2016 15:00,"пасмурно, сильный снег",-17,ВСВ,6 м/с,732
1/1/2016 18:00,"пасмурно, слабый снег",-18,ВСВ,6 м/с,733
1/1/2016 21:00,"пасмурно, без осадков",-19,СВ,7 м/с,734
1/1/2016 24:00,"пасмурно, слабый снег",-20,СВ,4 м/с,735
2/1/2016 00:00,"пасмурно, слабый снег",-20,СВ,4 м/с,735
2/1/2016 03:00,"пасмурно, без осадков",-19,ВСВ,4 м/с,736
2/1/2016 06:00,"пасмурно, слабый снег",-17,ВСВ,4 м/с,736
2/1/2016 09:00,"пасмурно, слабый снег",-17,ВСВ,3 м/с,736
2/1/2016 12:00,"пасмурно, без осадков",-16,ВСВ,3 м/с,738
2/1/2016 15:00,"ясно, без осадков",-15,СВ,2 м/с,738
2/1/2016 18:00,"ясно, без осадков",-18,ВСВ,4 м/с,740
2/1/2016 21:00,"ясно, без осадков",-20,СВ,3 м/с,740
2/1/2016 24:00,"ясно, без осадков",-22,ВСВ,2 м/с,741
3/1/2016 00:00,"ясно, без осадков",-22,ВСВ,2 м/с,741
3/1/2016 03:00,"пасмурно, без осадков",-21,СВ,4 м/с,741
3/1/2016 06:00,"малооблачно, без осадков",-21,СВ,4 м/с,741
3/1/2016 09:00,"малооблачно, без осадков",-20,ВСВ,5 м/с,740
3/1/2016 12:00,"облачно, без осадков",-18,ВСВ,4 м/с,740
3/1/2016 15:00,"малооблачно, без осадков",-17,ВСВ,4 м/с,739
3/1/2016 18:00,"малооблачно, без осадков",-20,ВСВ,4 м/с,739
3/1/2016 21:00,"облачно, без осадков",-19,ВСВ,4 м/с,739
3/1/2016 24:00,"пасмурно, без осадков",-15,ВСВ,2 м/с,738
4/1/2016 00:00,"пасмурно, без осадков",-15,ВСВ,2 м/с,738
4/1/2016 03:00,"пасмурно, без осадков",-12,В,2 м/с,737
4/1/2016 06:00,"пасмурно, без осадков",-13,СВ,2 м/с,737
4/1/2016 09:00,"пасмурно, без осадков",-13,СВ,1 м/с,737
4/1/2016 12:00,"пасмурно, без осадков",-13,СВ,2 м/с,738
4/1/2016 15:00,"пасмурно, без осадков",-11,ВСВ,1 м/с,738
4/1/2016 18:00,"пасмурно, без осадков",-13,СЗ,4 м/с,738
4/1/2016 21:00,"пасмурно, без осадков",-17,ССВ,3 м/с,739
4/1/2016 24:00,"пасмурно, без осадков",-18,СВ,3 м/с,739
5/1/2016 00:00,"пасмурно, без осадков",-18,СВ,3 м/с,739
5/1/2016 03:00,"пасмурно, без осадков",-18,СВ,3 м/с,738
5/1/2016 06:00,"пасмурно, без осадков",-17,СВ,3 м/с,738
5/1/2016 09:00,"пасмурно, слабый снег",-16,СВ,3 м/с,738
5/1/2016 12:00,"пасмурно, слабый снег",-16,ВСВ,4 м/с,737
5/1/2016 15:00,"пасмурно, слабый снег",-13,ВСВ,2 м/с,737
5/1/2016 18:00,"пасмурно, слабый снег",-13,СВ,1 м/с,737
5/1/2016 21:00,"пасмурно, слабый снег",-15,СВ,2 м/с,737
5/1/2016 24:00,"пасмурно, без осадков",-17,штиль,0 м/с,737
